Specific Capacity,CE,Separator Class,Cathode  loading as LiI wt%,smiles1,smiles2,smiles3,smiles4,smiles5,smiles6,smiles7,smiles8,mol%1,mol%2,mol%3,mol%4,mol%5,mol%6,mol%7,mol%8
159.73,95.35,1,42.35,[Li+].[Cl-]  ,[Li+].[N+](=O)([O-])[O-],[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2  ,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1COCO1,CN1CCN(C1=O)C,C1COC(=O)O1,COCCOCCOCCOCCOC,5.535895224,1.716496248,1.615811267,2.03090932,44.41608106,14.35803801,23.28165022,7.045118648
212.61,94.08,1,40.77,[Li+].[Cl-]  ,[Li+].[N+](=O)([O-])[O-],[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2  ,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1COCO1,CN1CCN(C1=O)C,C1COC(=O)O1,COCCOCCOCCOCCOC,5.535895224,1.716496248,1.615811267,2.03090932,44.41608106,14.35803801,23.28165022,7.045118648
175.32,97.49,2,47.79,[Li+].[Cl-]  ,[Li+].[N+](=O)([O-])[O-],[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2  ,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1COCO1,CN1CCN(C1=O)C,C1COC(=O)O1,COCCOCCOCCOCCOC,6.016370434,1.839806429,1.761695741,2.254116631,24.08774285,31.14662251,25.25222354,7.64142186
173.32,98.83,2,46.25,[Li+].[Cl-]  ,[Li+].[N+](=O)([O-])[O-],[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2  ,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1COCO1,CN1CCN(C1=O)C,C1COC(=O)O1,COCCOCCOCCOCCOC,6.016370434,1.839806429,1.761695741,2.254116631,24.08774285,31.14662251,25.25222354,7.64142186
169.79,95.1,1,40.53,[Li+].[Cl-]  ,[Li+].[N+](=O)([O-])[O-],[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2  ,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1COCO1,CN1CCN(C1=O)C,C1COC(=O)O1,COCCOCCOCCOCCOC,6.016370434,1.839806429,1.761695741,2.254116631,24.08774285,31.14662251,25.25222354,7.64142186
176.81,96.49,1,40.1,[Li+].[Cl-]  ,[Li+].[N+](=O)([O-])[O-],[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2  ,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1COCO1,CN1CCN(C1=O)C,C1COC(=O)O1,COCCOCCOCCOCCOC,6.016370434,1.839806429,1.761695741,2.254116631,24.08774285,31.14662251,25.25222354,7.64142186
185.08,95.12,1,36.63,[Li+].[Cl-]  ,[Li+].[N+](=O)([O-])[O-],[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2  ,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1COCO1,CN1CCN(C1=O)C,C1COC(=O)O1,COCCOCCOCCOCCOC,6.04903035,1.806142258,1.712132879,2.16027169,29.30593658,18.94700034,30.7226819,9.296804011
221.35,94.31,1,33.03,[Li+].[Cl-]  ,[Li+].[N+](=O)([O-])[O-],[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2  ,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1COCO1,CN1CCN(C1=O)C,C1COC(=O)O1,COCCOCCOCCOCCOC,6.04903035,1.806142258,1.712132879,2.16027169,29.30593658,18.94700034,30.7226819,9.296804011
79.17,94.46,1,43.33,[Li+].[Cl-]  ,[Li+].[N+](=O)([O-])[O-],[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2  ,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1COCO1,CN1CCN(C1=O)C,C1COC(=O)O1,COCCOCCOCCOCCOC,6.102922183,6.944026917,0.992293332,7.96555404,5.004229661,20.44953074,12.89902293,39.6424202
90.13,94.66,1,42.74,[Li+].[Cl-]  ,[Li+].[N+](=O)([O-])[O-],[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2  ,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1COCO1,CN1CCN(C1=O)C,C1COC(=O)O1,COCCOCCOCCOCCOC,6.102922183,6.944026917,0.992293332,7.96555404,5.004229661,20.44953074,12.89902293,39.6424202
